"nome_objeto";circuferencia;diametro;
"abajur";55.2;17.5;
"adesivo";7.53;2.4;
"alcool_em_gel";25.3;8.0;
"Balanca";46.0;14.0;
"Baleiro";38.0;12.0;
"Banco_de_madeira";87.5;27.8
"boia_de_rede_de_cerco";19.0;6.2;
"bola";69.2;22.0;
"branquinho";8.6;2.6;
"caixa_de_som";28;7.5;
"caneca";23.7;8.6;
"caneca";25.6;8.2;
"caneca";25.9;8.0;
"caneca";26.7;8.5;
"carretel_de_linha";5.0;1.5
"Cofre";9.3;2.7;
"copo";17.0;5.5;
"Copo";20.0;6.0;
"copo";21.8;7.9;
"copo";22.2;8.3;
"copo";22;7.6;
"Copo";24.5;7.8;
"copo";29.8;9.5;
"Copo";31.5;10.0;
"Copo_de_plastico";26.7;8.5;
"desodorante";14.3;4.3;
"durex";12.5;3.9;
"embalagem_de_bala";17.9;5.5;
"Fone";23.5;7.65;
"Fone_headset";21.038;6.7;
"garrafa";22.4;7.0;
"garrafa";37.68;12;
"garrafa_de_champagne";25.0;7.0;
"garrafa_termica";21.4;6.4;
"Garrafinha_d_agua";22;7.0;
"Lanterna";12.26;3.9;
"lata";26.1;8.0;
"Lata_de_Nescau";22.9;7.3;
"Lata_de_Wafes";30.5;9.7;
"lixeirinha";38.9;12.2;
"pandeiro";80.4;25.4;
"panela";86.9;28.0;
"porta_canetas";22.7;7.2;
"Porta_palitos_de_dente";13.2;4.2;
"pote_de_alcool_gel";22.6;7.2;
"Pote_de_arroz";61.3;19.5;
"Pote_de_Cafe";45.9;14.7;
"pote_de_whey";35.9;11.2;
"prato";56.5;18.0;
"prato";60.0;19.5;
"ring_light";83.0;26.0;
"roda_de_skate_de_silicone";18.0;5.4;
"Saleiro";16.7;5.3;
"Tampa";20.5;6.0;
"tampa_da_garrafa_termica";29.2;9.3;
"tigela";40.0;13.0;
"tubo_de_cola";9.5;3.1;
"vaso";32.5;10.2;
"vela";16.0;5.1;
"Vela";23.1;7.5;
"Ventilador";144.4;46;
"Ventilador";193.0;61.0;
